location,date,old_cases
Afghanistan,2021-08-09,150778
Afghanistan,2021-08-10,151013
Afghanistan,2021-08-11,151291
Afghanistan,2021-08-12,151563
Afghanistan,2021-08-13,151770
Afghanistan,2021-08-14,151941
Afghanistan,2021-08-15,152033
Afghanistan,2021-08-16,152142
Afghanistan,2021-08-17,152243
Afghanistan,2021-08-18,152363
Afghanistan,2021-08-19,152411
Afghanistan,2021-08-20,152448
Afghanistan,2021-08-21,152497
Afghanistan,2021-08-22,152511
Afghanistan,2021-08-23,152583
Afghanistan,2021-08-24,152660
Afghanistan,2021-08-25,152722
Afghanistan,2021-08-26,152822
Afghanistan,2021-08-27,152960
Afghanistan,2021-08-28,153007
Afghanistan,2021-08-29,153033
Afghanistan,2021-08-30,153148
Afghanistan,2021-08-31,153220
Afghanistan,2021-09-01,153260
Afghanistan,2021-09-02,153306
Afghanistan,2021-09-03,153375
Afghanistan,2021-09-04,153395
Afghanistan,2021-09-05,153423
Afghanistan,2021-09-06,153534
Afghanistan,2021-09-07,153626
Afghanistan,2021-09-08,153736
Afghanistan,2021-09-09,153840
Afghanistan,2021-09-10,153962
Afghanistan,2021-09-11,153982
Afghanistan,2021-09-12,153990
Afghanistan,2021-09-13,154094
Afghanistan,2021-09-14,154180
Afghanistan,2021-09-15,154283
Afghanistan,2021-09-16,154361
Afghanistan,2021-09-17,154487
Afghanistan,2021-09-18,154487
Afghanistan,2021-09-19,154487
Afghanistan,2021-09-20,154585
Afghanistan,2021-09-21,154712
Afghanistan,2021-09-22,154757
Afghanistan,2021-09-23,154800
Afghanistan,2021-09-24,154960
Afghanistan,2021-09-25,154960
Afghanistan,2021-09-26,154960
Afghanistan,2021-09-27,155072
Afghanistan,2021-09-28,155093
Afghanistan,2021-09-29,155128
Afghanistan,2021-09-30,155174
Afghanistan,2021-10-01,155191
Afghanistan,2021-10-02,155191
Afghanistan,2021-10-03,155191
Afghanistan,2021-10-04,155287
Afghanistan,2021-10-05,155309
Afghanistan,2021-10-06,155380
Afghanistan,2021-10-07,155429
Afghanistan,2021-10-08,155448
Afghanistan,2021-10-09,155466
Afghanistan,2021-10-10,155508
Afghanistan,2021-10-11,155540
Afghanistan,2021-10-12,155599
Afghanistan,2021-10-13,155627
Afghanistan,2021-10-14,155682
Afghanistan,2021-10-15,155688
Afghanistan,2021-10-16,155739
Afghanistan,2021-10-17,155764
Afghanistan,2021-10-18,155776
Afghanistan,2021-10-19,155801
Afghanistan,2021-10-20,155859
Afghanistan,2021-10-21,155891
Afghanistan,2021-10-22,155931
Afghanistan,2021-10-23,155940
Afghanistan,2021-10-24,155944
Afghanistan,2021-10-25,156040
Afghanistan,2021-10-26,156071
Afghanistan,2021-10-27,156124
Afghanistan,2021-10-28,156166
Afghanistan,2021-10-29,156196
Afghanistan,2021-10-30,156210
Afghanistan,2021-10-31,156250
Afghanistan,2021-11-01,156284
Afghanistan,2021-11-02,156307
Afghanistan,2021-11-03,156323
Afghanistan,2021-11-04,156363
Afghanistan,2021-11-05,156392
Afghanistan,2021-11-06,156397
Afghanistan,2021-11-07,156397
Afghanistan,2021-11-08,156397
Afghanistan,2021-11-09,156397
Afghanistan,2021-11-10,156414
Afghanistan,2021-11-11,156456
Afghanistan,2021-11-12,156487
Afghanistan,2021-11-13,156510
Afghanistan,2021-11-14,156552
Afghanistan,2021-11-15,156610
Afghanistan,2021-11-16,156649
Afghanistan,2021-11-17,156739
Afghanistan,2021-11-18,156739
Afghanistan,2021-11-19,156812
Afghanistan,2021-11-20,156864
